date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:36:02	73580/73580	---MC-	200	added ('OK')	application/json	date:Sun,%2003%20May%202020%2010:05:55%20GMT	http://192.168.43.61:8081/index.php?rest_route=/	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/index52f0.json	(from http://192.168.43.61:8081/)
15:36:02	356/356	---M--	200	added ('OK')	image/png	etag:%22164-5a42f87b219c0%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/prev_slide.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/prev_slide.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:02	352/352	---M--	200	added ('OK')	image/png	etag:%22160-5a42f87b219c0%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/next_slide.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/next_slide.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:03	1577/1577	---M--	200	added ('OK')	image/png	etag:%22629-5a42f87b219c0%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/pagination.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/pagination.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:03	330/330	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:06%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/img-bg.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/img-bg.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:03	338/338	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2003%20May%202020%2010:06:06%20GMT	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/home_blog_more.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/home_blog_more.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:03	236/236	---M--	200	added ('OK')	image/png	etag:%22ec-5a42f87b219c0%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/next.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/next.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:04	241/241	---M--	200	added ('OK')	image/png	etag:%22f1-5a42f87b219c0%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/prev.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/prev.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:04	827/827	---M--	200	added ('OK')	image/png	etag:%2233b-5a42f87b21da8%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/search.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/search.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:04	2262/2262	---M--	200	added ('OK')	image/png	etag:%228d6-5a42f87b219c0%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/link.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/link.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
15:36:05	1919/1919	---M--	200	added ('OK')	image/png	etag:%2277f-5a42f87b215d8%22	http://192.168.43.61:8081/wp-content/themes/colorway/assets/images/img-shadow.png	C:/Users/Rameshwar/site2/test/192.168.43.61_8081/wp-content/themes/colorway/assets/images/img-shadow.png	(from http://192.168.43.61:8081/wp-content/themes/colorway/assets/css/style.min.css?ver=5.1.5)
